artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
88rising,Head In The Clouds II,I Love You 3000 II,3witRpHWHqArlnt6GTlH2Y,0.435,0.338,6,-9.109,1,0.066,0.0,0.412,0.354,179.727,209643,4
keshi,THE REAPER,like i need u,7ivYWXqrPLs66YwakDuSim,0.748,0.465,5,-8.163,1,0.0869,0.0,0.294,0.412,119.872,182679,4
keshi,2 soon,2 soon,5SlU0Yhi51jobhEiGE4xDv,0.517,0.663,6,-6.688,0,0.0375,0.0,0.322,0.146,174.032,206512,4
keshi,right here,right here,2xnNgKhyMl9MxBmRNGnBJP,0.619,0.445,5,-10.332,1,0.0503,0.0,0.151,0.35,160.125,194907,4
keshi,always,drunk,6D6HVKe7Qu3imn4zzJD0W9,0.691,0.389,4,-8.247,1,0.0367,0.0,0.0941,0.306,104.952,227032,4
FINNEAS,Let’s Fall In Love For The Night,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,0.737,0.408,5,-7.941,1,0.104,0.0,0.171,0.374,127.921,190348,4
JAIE,December,better days,4aFvaG8tPkPSafZdSungMh,0.679,0.0821,0,-17.194,1,0.11,0.0,0.0957,0.218,84.952,169588,4
Sonder,Too Fast,Too Fast,42QRyJd5x6e2TFR1S41g2p,0.395,0.33,4,-10.924,0,0.0408,1.89e-05,0.268,0.102,98.813,308006,3
John Mayer,New Light,New Light,3bH4HzoZZFq8UpZmI2AMgV,0.828,0.689,7,-7.878,1,0.0326,0.0384,0.0808,0.853,123.931,216015,4
Lauv,I met you when I was 18. (the playlist),Paris in the Rain,41CgzGD7xlgnJe14R4cqkL,0.426,0.408,3,-9.419,1,0.0524,7.88e-06,0.394,0.528,76.309,204712,4
Phum Viphurit,Lover Boy,Lover Boy,2rd4FH1cSaWGc0ZiUaMbX9,0.798,0.556,11,-8.597,1,0.0303,0.000353,0.0959,0.627,109.994,236727,4
Rex Orange County,Loving Is Easy (feat. Benny Sings),Loving Is Easy (feat. Benny Sings),5EYi2rH4LYs6M21ZLOyQTx,0.756,0.609,3,-7.927,1,0.0544,0.00482,0.0959,0.537,117.024,155720,4
pxzvc,Bad Idea,Bad Idea,1D5q7cBDHLBDbzQDVrS6E3,0.852,0.41,0,-9.498,1,0.0602,0.167,0.142,0.467,122.054,114109,4
June Marieezy,Fly (The Remixes),Fly - FKJ Remix,2cbWaw8K4fKvR9kgBg3ugq,0.657,0.528,6,-8.039,0,0.0679,0.000158,0.264,0.35,75.44,252000,4
Bazzi,I.F.L.Y.,I.F.L.Y.,4R9ATNRRl1uth17i5qDCc0,0.812,0.519,2,-4.823,1,0.0385,0.0,0.13,0.554,104.954,165714,4
